transaction_id,client_id,amount,transaction_type,timestamp,client_country,counterparty_country,ofac_match_flag,fatf_country_flag,structuring_pattern_flag,rapid_movement_flag,trade_mispricing_flag,transaction_risk_score,client_risk_score,overall_risk_score,anomaly_flag,risk_level,case_id,status,priority,investigator
1599,1036,41201.8,ACH,2025-09-21 00:43:05,Germany,Australia,0,0,0,0,0,0,35.0,35.0,-1,LOW,CASE-00050,OPEN,MEDIUM,Unassigned
1738,402,63232.75,Check,2025-08-28 19:42:04,Venezuela,United Kingdom,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00051,OPEN,MEDIUM,Unassigned
1777,524,73581.39,ACH,2025-07-27 01:09:17,Afghanistan,Netherlands,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00052,OPEN,MEDIUM,Unassigned
1784,455,93204.22,Wire,2025-08-03 21:45:40,Venezuela,United States,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00053,OPEN,MEDIUM,Unassigned
1801,1663,25027.85,Wire,2025-09-27 23:02:13,Syria,Venezuela,1,0,0,0,0,40,30.0,70.0,-1,HIGH,CASE-00054,OPEN,HIGH,Unassigned
1819,1179,102789.23,Wire,2025-07-17 22:52:09,Syria,Iran,1,1,0,0,0,60,0.0,60.0,-1,MEDIUM,CASE-00055,OPEN,MEDIUM,Unassigned
1828,661,1663.21,Wire,2025-09-23 13:02:13,Switzerland,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00056,OPEN,HIGH,Unassigned
1832,1571,16612.74,SWIFT,2025-09-01 19:07:02,Switzerland,Russia,1,0,0,0,0,40,30.0,70.0,-1,HIGH,CASE-00057,OPEN,HIGH,Unassigned
1834,847,3130.79,ACH,2025-07-09 07:10:57,Lebanon,Iran,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00058,OPEN,MEDIUM,Unassigned
1901,731,2525.51,ACH,2025-08-06 10:00:44,Syria,Syria,1,0,0,0,0,40,55.0,95.0,-1,HIGH,CASE-00059,OPEN,HIGH,Unassigned
1932,1283,297.12,SWIFT,2025-07-07 17:41:28,Venezuela,Venezuela,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00060,OPEN,HIGH,Unassigned
1955,837,1126.49,ACH,2025-09-12 18:59:26,Venezuela,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00061,OPEN,HIGH,Unassigned
1957,759,102447.14,Check,2025-09-14 21:21:26,Netherlands,Switzerland,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00062,OPEN,MEDIUM,Unassigned
1971,254,1517.71,Check,2025-07-06 17:47:15,North Korea,Lebanon,0,0,0,0,0,0,50.0,50.0,1,MEDIUM,CASE-00063,OPEN,MEDIUM,Unassigned
1997,575,342.32,Check,2025-09-12 04:17:25,United Arab Emirates,Iran,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00064,OPEN,MEDIUM,Unassigned
2013,518,65.54,Wire,2025-08-10 13:19:14,Germany,North Korea,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00065,OPEN,MEDIUM,Unassigned
2053,1849,930.47,SWIFT,2025-08-24 13:47:10,North Korea,Venezuela,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00066,OPEN,HIGH,Unassigned
2098,1879,13721.07,Wire,2025-08-21 23:16:53,Australia,Sudan,1,0,0,0,0,40,30.0,70.0,-1,HIGH,CASE-00067,OPEN,HIGH,Unassigned
2106,636,73504.73,Wire,2025-07-14 09:41:01,Russia,Netherlands,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00068,OPEN,MEDIUM,Unassigned
2128,1283,1105.23,Wire,2025-07-05 06:46:48,Venezuela,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00069,OPEN,HIGH,Unassigned
2130,945,58567.08,SWIFT,2025-07-07 20:35:14,United Kingdom,Canada,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00070,OPEN,MEDIUM,Unassigned
2143,962,18985.59,Wire,2025-09-26 14:06:07,Iran,United States,0,0,0,1,0,15,40.0,55.0,-1,MEDIUM,CASE-00071,OPEN,MEDIUM,Unassigned
2159,403,2784.76,SWIFT,2025-08-02 21:53:08,Syria,Syria,1,0,0,0,0,40,65.0,105.0,-1,HIGH,CASE-00072,OPEN,HIGH,Unassigned
2193,1697,1696.44,Wire,2025-07-27 22:46:57,Russia,Iran,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00073,OPEN,MEDIUM,Unassigned
2214,1540,59807.64,Wire,2025-07-20 19:56:01,India,Netherlands,0,0,0,0,0,0,20.0,20.0,-1,LOW,CASE-00074,OPEN,MEDIUM,Unassigned
2233,1283,1279.29,ACH,2025-07-20 18:00:06,Venezuela,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00075,OPEN,HIGH,Unassigned
2271,1503,990.7,Check,2025-08-18 06:38:41,Venezuela,Venezuela,1,0,0,0,0,40,55.0,95.0,1,HIGH,CASE-00076,OPEN,HIGH,Unassigned
2276,1879,64.52,ACH,2025-09-30 20:36:42,Australia,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00077,OPEN,HIGH,Unassigned
2304,1613,3967.86,Check,2025-08-30 02:31:17,Iran,Iran,1,1,0,0,0,60,40.0,100.0,-1,HIGH,CASE-00078,OPEN,HIGH,Unassigned
2362,1571,48.02,Check,2025-08-25 19:45:18,Switzerland,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00079,OPEN,HIGH,Unassigned
2422,927,50244.89,Wire,2025-09-27 16:25:00,Syria,China,0,0,0,0,0,0,25.0,25.0,-1,LOW,CASE-00080,OPEN,MEDIUM,Unassigned
2442,1421,26755.73,Check,2025-08-03 21:25:20,United States,North Korea,1,1,0,0,0,60,30.0,90.0,-1,HIGH,CASE-00081,OPEN,HIGH,Unassigned
2453,1206,644.45,SWIFT,2025-07-22 18:34:37,Japan,Syria,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00082,OPEN,HIGH,Unassigned
2454,1541,84202.74,Wire,2025-09-16 15:15:04,Australia,India,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00083,OPEN,MEDIUM,Unassigned
2521,1785,1258.02,ACH,2025-07-14 03:11:07,United States,Syria,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00084,OPEN,HIGH,Unassigned
2530,878,66875.39,Wire,2025-07-29 15:29:46,Venezuela,Japan,0,0,0,0,0,0,10.0,10.0,-1,LOW,CASE-00085,OPEN,MEDIUM,Unassigned
2565,1603,2442.35,SWIFT,2025-07-07 23:45:10,Canada,Iran,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00086,OPEN,MEDIUM,Unassigned
2592,1771,13833.37,SWIFT,2025-07-30 13:35:52,United Arab Emirates,North Korea,1,1,0,0,0,60,30.0,90.0,-1,HIGH,CASE-00087,OPEN,HIGH,Unassigned
2597,1491,95184.33,SWIFT,2025-09-03 19:20:37,Singapore,Japan,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00088,OPEN,MEDIUM,Unassigned
2608,1849,1280.29,Wire,2025-07-20 23:59:06,North Korea,Sudan,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00089,OPEN,HIGH,Unassigned
2624,1706,9263.31,Check,2025-09-08 00:46:30,China,Iran,1,1,1,0,0,75,30.0,105.0,-1,HIGH,CASE-00090,OPEN,HIGH,Unassigned
2625,1060,96886.86,ACH,2025-08-23 08:43:59,Afghanistan,France,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00091,OPEN,MEDIUM,Unassigned
2641,1944,933.82,ACH,2025-09-16 07:09:38,United Kingdom,Sudan,1,0,0,0,0,40,25.0,65.0,1,MEDIUM,CASE-00092,OPEN,MEDIUM,Unassigned
2646,1773,34982.93,Wire,2025-09-07 05:16:22,Australia,Afghanistan,0,0,0,1,0,15,30.0,45.0,-1,MEDIUM,CASE-00093,OPEN,MEDIUM,Unassigned
2658,356,57637.64,Check,2025-07-19 08:14:35,North Korea,Netherlands,0,0,0,0,0,0,20.0,20.0,-1,LOW,CASE-00094,OPEN,MEDIUM,Unassigned
2666,1785,8430.81,SWIFT,2025-07-27 22:25:41,United States,Sudan,1,0,0,0,0,40,50.0,90.0,-1,HIGH,CASE-00095,OPEN,HIGH,Unassigned
2691,1851,91408.77,Check,2025-07-21 18:08:07,China,France,0,0,0,0,0,0,20.0,20.0,-1,LOW,CASE-00096,OPEN,MEDIUM,Unassigned
2740,1899,216.55,SWIFT,2025-09-18 06:26:05,Afghanistan,Russia,1,0,0,0,0,40,25.0,65.0,1,MEDIUM,CASE-00097,OPEN,MEDIUM,Unassigned
2750,569,5822.72,ACH,2025-08-01 17:26:04,Syria,Iran,1,1,0,0,0,60,30.0,90.0,-1,HIGH,CASE-00098,OPEN,HIGH,Unassigned
2792,585,37.12,ACH,2025-09-05 17:38:51,Japan,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00099,OPEN,HIGH,Unassigned
2795,1571,7082.11,Check,2025-07-20 13:44:04,Switzerland,Iran,1,1,0,0,0,60,30.0,90.0,-1,HIGH,CASE-00100,OPEN,HIGH,Unassigned
2803,383,36335.29,Wire,2025-08-12 12:43:06,Iran,China,0,0,0,0,0,0,45.0,45.0,-1,MEDIUM,CASE-00101,OPEN,MEDIUM,Unassigned
2816,1303,87714.74,ACH,2025-08-07 00:14:59,Venezuela,United Kingdom,0,0,0,0,0,0,25.0,25.0,-1,LOW,CASE-00102,OPEN,MEDIUM,Unassigned
2822,383,38656.12,SWIFT,2025-09-08 04:12:13,Iran,Australia,0,0,0,0,0,0,45.0,45.0,-1,MEDIUM,CASE-00103,OPEN,MEDIUM,Unassigned
2830,1849,7048.89,ACH,2025-08-07 01:24:57,North Korea,North Korea,1,1,0,0,0,60,50.0,110.0,-1,HIGH,CASE-00104,OPEN,HIGH,Unassigned
2833,288,957.54,Check,2025-08-16 21:00:53,Germany,Venezuela,1,0,0,0,0,40,25.0,65.0,1,MEDIUM,CASE-00105,OPEN,MEDIUM,Unassigned
2853,828,4317.34,SWIFT,2025-08-13 10:22:15,Venezuela,Iran,1,1,0,0,0,60,30.0,90.0,-1,HIGH,CASE-00106,OPEN,HIGH,Unassigned
2881,1697,56353.24,SWIFT,2025-09-25 15:12:42,Russia,United States,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00107,OPEN,MEDIUM,Unassigned
2890,1571,1193.94,SWIFT,2025-08-25 03:19:39,Switzerland,North Korea,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00108,OPEN,HIGH,Unassigned
2892,1323,654.51,Wire,2025-09-20 20:37:29,Syria,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00109,OPEN,HIGH,Unassigned
2919,1015,287560.19,Check,2025-09-20 02:33:46,United Kingdom,Japan,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00110,OPEN,MEDIUM,Unassigned
2948,1787,1620.32,Check,2025-07-13 22:24:39,Sudan,North Korea,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00111,OPEN,HIGH,Unassigned
2965,1968,1286.87,ACH,2025-08-03 10:25:28,France,North Korea,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00112,OPEN,MEDIUM,Unassigned
2998,946,48505.99,Wire,2025-08-01 14:48:18,Switzerland,Japan,0,0,0,0,0,0,20.0,20.0,-1,LOW,CASE-00113,OPEN,MEDIUM,Unassigned
3039,661,114.16,SWIFT,2025-07-29 10:25:09,Switzerland,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00114,OPEN,HIGH,Unassigned
3046,832,481.87,SWIFT,2025-09-22 13:31:22,Sudan,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00115,OPEN,HIGH,Unassigned
3047,1702,1074.14,Check,2025-08-22 02:30:53,Switzerland,Venezuela,1,0,0,1,0,55,30.0,85.0,1,HIGH,CASE-00116,OPEN,HIGH,Unassigned
3071,1421,160.12,ACH,2025-07-04 02:18:15,United States,Syria,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00117,OPEN,HIGH,Unassigned
3100,323,2192.38,Wire,2025-09-01 18:08:21,Netherlands,Syria,1,0,0,0,0,40,25.0,65.0,1,MEDIUM,CASE-00118,OPEN,MEDIUM,Unassigned
3147,8,87.96,SWIFT,2025-09-30 15:00:21,Canada,Iran,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00119,OPEN,MEDIUM,Unassigned
3156,1027,368.18,Wire,2025-08-15 08:15:46,Russia,Venezuela,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00120,OPEN,HIGH,Unassigned
3193,3,956.66,Wire,2025-08-22 07:16:38,United Arab Emirates,Iran,1,1,0,0,0,60,40.0,100.0,-1,HIGH,CASE-00121,OPEN,HIGH,Unassigned
3196,828,79150.49,Wire,2025-07-30 06:55:44,Venezuela,Sudan,1,0,0,0,0,40,30.0,70.0,-1,HIGH,CASE-00122,OPEN,HIGH,Unassigned
3269,463,66290.56,Check,2025-09-02 13:43:08,Russia,Japan,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00123,OPEN,MEDIUM,Unassigned
3319,463,136187.47,ACH,2025-08-04 13:32:45,Russia,Canada,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00124,OPEN,MEDIUM,Unassigned
3320,1788,444.58,Wire,2025-07-10 18:12:21,Venezuela,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00125,OPEN,HIGH,Unassigned
3378,262,63.99,Check,2025-07-10 07:10:01,Singapore,Russia,1,0,0,0,0,40,10.0,50.0,1,MEDIUM,CASE-00126,OPEN,MEDIUM,Unassigned
3380,1283,2174.1,Check,2025-07-11 20:36:08,Venezuela,Syria,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00127,OPEN,HIGH,Unassigned
3425,1186,592.41,ACH,2025-08-22 09:11:33,India,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00128,OPEN,HIGH,Unassigned
3478,1702,420.52,Wire,2025-08-08 03:18:22,Switzerland,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00129,OPEN,HIGH,Unassigned
3511,94,864.3,ACH,2025-08-29 08:09:50,Netherlands,Syria,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00130,OPEN,HIGH,Unassigned
3597,1754,595.61,ACH,2025-07-04 00:19:11,United States,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00131,OPEN,HIGH,Unassigned
3609,1864,1944.95,ACH,2025-09-05 08:03:14,Syria,Iran,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00132,OPEN,MEDIUM,Unassigned
3613,986,1031.74,SWIFT,2025-07-28 06:02:28,China,Syria,1,0,0,0,0,40,20.0,60.0,1,MEDIUM,CASE-00133,OPEN,MEDIUM,Unassigned
3675,751,2696.86,ACH,2025-08-23 18:48:07,Russia,Venezuela,1,0,0,0,0,40,50.0,90.0,1,HIGH,CASE-00134,OPEN,HIGH,Unassigned
3677,344,11012.65,Wire,2025-09-06 03:37:28,North Korea,Germany,0,0,0,1,0,15,40.0,55.0,1,MEDIUM,CASE-00135,OPEN,MEDIUM,Unassigned
3678,886,1578.79,Check,2025-08-24 03:01:16,North Korea,Australia,0,0,0,0,0,0,65.0,65.0,1,MEDIUM,CASE-00136,OPEN,MEDIUM,Unassigned
3692,1814,83767.03,ACH,2025-08-19 02:34:50,Netherlands,Netherlands,0,0,0,0,0,0,10.0,10.0,-1,LOW,CASE-00137,OPEN,MEDIUM,Unassigned
3696,3,4295.85,Wire,2025-08-09 19:51:00,United Arab Emirates,Sudan,1,0,0,0,0,40,40.0,80.0,1,HIGH,CASE-00138,OPEN,HIGH,Unassigned
3707,813,61147.02,SWIFT,2025-08-06 11:27:40,United Arab Emirates,Singapore,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00139,OPEN,MEDIUM,Unassigned
3718,1660,14068.05,SWIFT,2025-08-08 11:07:26,Russia,Russia,1,0,0,0,0,40,30.0,70.0,-1,HIGH,CASE-00140,OPEN,HIGH,Unassigned
3753,94,5361.76,Check,2025-08-23 06:23:32,Netherlands,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00141,OPEN,HIGH,Unassigned
3802,1898,178043.02,Check,2025-09-16 08:14:19,Afghanistan,China,0,0,0,0,0,0,0.0,0.0,-1,LOW,CASE-00142,OPEN,MEDIUM,Unassigned
3816,97,210.4,ACH,2025-09-08 16:51:56,Syria,Venezuela,1,0,0,1,0,55,50.0,105.0,-1,HIGH,CASE-00143,OPEN,HIGH,Unassigned
3848,1660,3719.5,Check,2025-07-27 00:44:09,Russia,North Korea,1,1,0,1,0,75,30.0,105.0,-1,HIGH,CASE-00144,OPEN,HIGH,Unassigned
3883,1256,3481.08,SWIFT,2025-08-12 08:39:11,Singapore,North Korea,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00145,OPEN,MEDIUM,Unassigned
3912,1986,346.19,ACH,2025-08-20 12:14:24,Netherlands,Syria,1,0,0,0,0,40,20.0,60.0,1,MEDIUM,CASE-00146,OPEN,MEDIUM,Unassigned
3926,1160,78767.49,Check,2025-09-16 20:44:01,United States,India,0,0,0,1,0,15,25.0,40.0,-1,MEDIUM,CASE-00147,OPEN,MEDIUM,Unassigned
3935,1593,5221.68,Wire,2025-08-23 00:22:37,France,Iran,1,1,0,0,0,60,30.0,90.0,-1,HIGH,CASE-00148,OPEN,HIGH,Unassigned
4046,1702,5319.24,Check,2025-07-11 00:54:18,Switzerland,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00149,OPEN,HIGH,Unassigned
4066,469,4500.13,Check,2025-08-29 10:42:23,Germany,North Korea,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00150,OPEN,MEDIUM,Unassigned
4103,1879,4136.34,Wire,2025-07-15 22:05:02,Australia,Russia,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00151,OPEN,HIGH,Unassigned
4222,828,1066.96,SWIFT,2025-09-04 22:23:56,Venezuela,Iran,1,1,0,0,0,60,30.0,90.0,1,HIGH,CASE-00152,OPEN,HIGH,Unassigned
4229,887,3567.28,Check,2025-08-03 00:29:55,Canada,North Korea,1,1,0,0,0,60,0.0,60.0,1,MEDIUM,CASE-00153,OPEN,MEDIUM,Unassigned
4236,1433,3377.56,SWIFT,2025-07-31 06:31:41,Venezuela,Sudan,1,0,0,0,0,40,30.0,70.0,1,HIGH,CASE-00154,OPEN,HIGH,Unassigned
4244,351,430.38,SWIFT,2025-07-27 16:36:03,Iran,North Korea,1,1,0,0,0,60,45.0,105.0,-1,HIGH,CASE-00155,OPEN,HIGH,Unassigned
